Date,Open,High,Low,Close,Adj Close,Volume
14-02-2020,92.5,93.800003,89.5,89.849998,89.849998,1752955
17-02-2020,89.900002,90.25,86.300003,86.849998,86.849998,1527453
18-02-2020,86.400002,89,85.099998,88.550003,88.550003,1367363
19-02-2020,88.099998,90.199997,88.099998,89.099998,89.099998,1402703
20-02-2020,88.849998,92.25,88.550003,90.099998,90.099998,1899902
24-02-2020,89,89.400002,86.5,87.050003,87.050003,956112
25-02-2020,87,88,84.099998,84.400002,84.400002,1630628
26-02-2020,84,85.400002,82.949997,83.199997,83.199997,1274174
27-02-2020,82.900002,83.599998,80.5,81.300003,81.300003,1434070
28-02-2020,79.800003,79.800003,77.300003,77.5,77.5,2795666
02-03-2020,79,79.800003,75.800003,76.699997,76.699997,1238881
03-03-2020,77.25,78.849998,76.800003,77.849998,77.849998,1304622
04-03-2020,78.900002,79.150002,74.099998,75.449997,75.449997,1415274
05-03-2020,75.650002,79.5,75.650002,78.199997,78.199997,1439424
06-03-2020,74.449997,74.800003,73,74.199997,74.199997,1942971
09-03-2020,69.050003,71.199997,66,67.550003,67.550003,2941720
11-03-2020,68.199997,70.400002,67.099998,68,68,1446471
12-03-2020,64,65,57.049999,58.799999,58.799999,3763720
13-03-2020,51,62.299999,47.049999,60.150002,60.150002,5128375
16-03-2020,59,59,55,55.799999,55.799999,2130580
17-03-2020,55.299999,56.599998,52.200001,52.849998,52.849998,2109552
18-03-2020,53.549999,54.700001,48.799999,49.450001,49.450001,2464932
19-03-2020,47.5,48.799999,45,45.799999,45.799999,2782180
20-03-2020,46,48.5,45.25,46,46,2335577
23-03-2020,42,42.950001,41.400002,41.400002,41.400002,1526290
24-03-2020,45.400002,45.400002,37.349998,40.049999,40.049999,1687655
25-03-2020,38.099998,42,38,40.400002,40.400002,1674241
26-03-2020,41,44.400002,40.5,43.900002,43.900002,2082581
27-03-2020,46.25,48.25,43.5,44.549999,44.549999,2103663
30-03-2020,43.799999,43.799999,41.400002,41.75,41.75,1242223
31-03-2020,42.799999,43.549999,41.849998,42.150002,42.150002,1173291
01-04-2020,42.349998,43.75,41.599998,42.900002,42.900002,852943
03-04-2020,42.5,45.200001,41.049999,43.450001,43.450001,1336547
07-04-2020,45,46,44.049999,45.099998,45.099998,1446093
