Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,433.000000,437.649994,428.100006,436.000000,434.870483,2453801
2020-02-19,437.799988,449.200012,437.399994,447.500000,446.340668,2359566
2020-02-20,448.000000,448.799988,434.500000,435.750000,434.621124,3048500
2020-02-24,436.000000,436.700012,426.549988,430.149994,429.035614,2569563
2020-02-25,430.200012,431.200012,420.000000,425.799988,424.696899,2438218
2020-02-26,406.000000,425.000000,405.799988,422.200012,421.106232,8068909
2020-02-27,411.100006,424.000000,409.000000,421.200012,420.108826,5109022
2020-02-28,413.000000,416.450012,398.049988,402.100006,401.058289,4200936
2020-03-02,407.000000,411.250000,394.649994,401.950012,400.908691,3460583
2020-03-03,402.000000,429.200012,402.000000,425.299988,424.198181,5476676
2020-03-04,425.600006,449.799988,420.000000,447.649994,446.490295,9297945
2020-03-05,447.850006,472.000000,437.450012,440.600006,439.458557,9637431
2020-03-06,425.000000,438.149994,423.049988,434.399994,433.274628,2916146
2020-03-09,425.000000,432.649994,423.500000,426.149994,425.045990,2986596
2020-03-11,425.000000,426.149994,410.200012,417.100006,416.019440,5314547
2020-03-12,412.500000,412.500000,390.750000,394.750000,393.727325,5636464
2020-03-13,388.000000,434.950012,355.299988,425.549988,424.447540,6096891
2020-03-16,416.000000,423.899994,392.750000,396.399994,395.373047,5394603
2020-03-17,397.000000,422.000000,390.750000,401.750000,400.709198,2989674
2020-03-18,411.799988,411.799988,381.700012,386.000000,385.000000,4200456
2020-03-19,374.799988,390.750000,362.899994,374.700012,374.700012,2926091
2020-03-20,379.799988,399.799988,372.450012,392.799988,392.799988,4718358
2020-03-23,370.000000,406.899994,370.000000,375.250000,375.250000,5507004
2020-03-24,380.000000,409.750000,372.549988,377.450012,377.450012,6649616
2020-03-25,378.000000,394.899994,374.000000,376.450012,376.450012,6418955
2020-03-26,383.000000,394.700012,380.500000,386.149994,386.149994,4291225
2020-03-27,393.000000,411.000000,391.950012,407.649994,407.649994,6471291
2020-03-30,413.799988,438.700012,407.649994,431.750000,431.750000,9020926
2020-03-31,446.000000,446.600006,420.000000,422.850006,422.850006,9434602
2020-04-01,424.899994,430.899994,410.399994,413.750000,413.750000,6329668
2020-04-03,425.000000,454.700012,416.250000,449.200012,449.200012,17906762
2020-04-07,479.000000,513.400024,452.000000,492.250000,492.250000,20843608
2020-04-08,496.950012,530.000000,490.000000,512.750000,512.750000,19456188
2020-04-09,564.000000,610.000000,564.000000,579.599976,579.599976,27207708
2020-04-13,605.000000,605.000000,583.000000,592.849976,592.849976,15483858
2020-04-15,604.450012,614.000000,578.599976,592.349976,592.349976,16213806
2020-04-16,590.000000,612.799988,582.000000,600.450012,600.450012,12716342
2020-04-17,615.000000,615.000000,595.000000,598.000000,598.000000,8304173
2020-04-20,598.000000,599.400024,580.000000,585.400024,585.400024,5856150
2020-04-21,578.000000,609.799988,570.000000,592.099976,592.099976,14471856
2020-04-22,594.900024,599.750000,585.000000,587.200012,587.200012,6182243
2020-04-23,590.000000,603.900024,579.049988,586.700012,586.700012,6277840
2020-04-24,586.400024,606.000000,583.599976,599.299988,599.299988,11127889
2020-04-27,600.000000,632.650024,600.000000,608.700012,608.700012,14089786
2020-04-28,616.799988,621.250000,593.250000,598.599976,598.599976,8193422
2020-04-29,605.000000,607.900024,590.099976,596.250000,596.250000,6767183
2020-04-30,607.900024,611.450012,586.099976,589.599976,589.599976,9099721
2020-05-04,589.000000,616.950012,580.599976,611.849976,611.849976,16815950
2020-05-05,623.049988,623.049988,595.000000,596.900024,596.900024,9257154
2020-05-06,597.500000,606.000000,590.000000,591.750000,591.750000,6978135
2020-05-07,598.000000,601.799988,587.500000,589.549988,589.549988,4620871
2020-05-08,598.000000,601.200012,589.500000,591.900024,591.900024,5051303
2020-05-11,600.950012,600.950012,583.450012,586.049988,586.049988,5853892
2020-05-12,587.000000,593.799988,566.200012,570.150024,570.150024,8868938
2020-05-13,600.000000,605.000000,568.900024,570.200012,570.200012,10438589
2020-05-14,571.000000,577.900024,566.099976,569.750000,569.750000,8546002
2020-05-15,572.000000,585.000000,565.599976,570.299988,570.299988,14388403
2020-05-18,570.599976,605.000000,570.500000,600.450012,600.450012,22898114
2020-05-19,600.000000,608.799988,590.200012,594.950012,594.950012,10951060
2020-05-20,597.000000,624.349976,595.400024,620.650024,620.650024,13440063
2020-05-21,620.650024,626.849976,612.299988,616.599976,616.599976,7916771
2020-05-22,616.700012,641.849976,610.099976,639.349976,639.349976,10874832
2020-05-26,640.000000,646.900024,624.049988,627.700012,627.700012,8859302
2020-05-27,630.000000,637.799988,625.799988,633.049988,633.049988,7710100
2020-05-28,634.000000,637.650024,626.049988,628.349976,628.349976,5488625
2020-05-29,633.000000,650.950012,631.000000,648.150024,648.150024,10580203
2020-06-01,649.000000,652.599976,634.549988,642.500000,642.500000,7439123
2020-06-02,644.900024,658.650024,636.000000,637.599976,637.599976,6883363
2020-06-03,646.849976,649.500000,635.299988,641.200012,641.200012,5044700
2020-06-04,643.000000,664.799988,642.500000,660.549988,660.549988,10452388
